"Project name","Project version","Project id","Version id","Channel version id","Component name",Version,"Channel version origin","Channel version origin id","Channel version origin name","Vulnerability id",Description,"Published on","Updated on","Base Score",Exploitability,Impact,"Vulnerability source","Hub Vulnerability URL","Remediation status","Remediation target date","Remediation actual date","Remediation comment",URL,Severity,"Scan date"
"Hub-Fortify-Integration-Test1",1.0,"e597d1b5-bc4b-47eb-9d20-6c1c9b78168c","5de23875-9ad2-4c17-93bb-31c445a58fc3",,"Apache Accumulo",1.6.1,unknown,null,1.6.1,113251,"Secure Sockets Layer Version 3 (SSLv3) contains a flaw related to SSLv3 CBC-mode ciphers. The issue is due to the block cipher padding not being deterministic and not covered by the MAC (Message Authentication Code). By sending a number of crafted requests to the server, an attacker can induce requests that will allow determining plaintext chunks of data. When used in an automated fashion, this can be used to determine a considerable amount of encrypted traffic, allowing a man-in-the-middle attacker to gain access to the plaintext data stream.",2014-10-14,2017-05-24,3.5,6.8,2.9,VULNDB,,NEW,,,,,LOW,"2017-05-26 01:30:59.716"
"Hub-Fortify-Integration-Test1",1.0,"e597d1b5-bc4b-47eb-9d20-6c1c9b78168c","5de23875-9ad2-4c17-93bb-31c445a58fc3",,"Apache Accumulo",1.6.1,unknown,null,1.6.1,877,"RFC compliant web servers support the TRACE HTTP method, which contains a flaw that may lead to an unauthorized information disclosure.  The TRACE method is used to debug web server connections and allows the client to see what is being received at the other end of the request chain.  Enabled by default in all major web servers, a remote attacker may abuse the HTTP TRACE functionality, i.e. cross-site scripting (XSS), which will disclose sensitive configuration information resulting in a loss of confidentiality.",,2016-11-01,4.3,8.6,2.9,VULNDB,,NEW,,,,,MEDIUM,"2017-05-26 01:30:59.716"
"Hub-Fortify-Integration-Test1",1.0,"1dd60d08-c423-4d97-b9d2-1fd119afd639","7a1ee1fa-42ac-421a-99e3-9d53b2f1d9dd",,"Apache Axis2/Java - Axis2 Service Archiver eclipse plugin",1.7.1,unknown,null,1.7.1,110143,"Apache HttpComponents contains a flaw related to certificate validation. The issue is due to the server hostname not being verified to match a domain name in the Subject's Common Name (CN) or SubjectAltName field of certificates. This may allow an attacker with access to network traffic (e.g. MiTM, DNS cache poisoning) to spoof the SSL server via an arbitrary certificate that appears valid. Such an attack would allow for the interception of sensitive traffic, and potentially allow for the injection of content into the SSL stream.",2014-08-18,2017-01-11,5.8,8.6,4.9,VULNDB,,NEW,,,,,MEDIUM,"2017-05-26 01:30:59.716"
"Hub-Fortify-Integration-Test1",1.0,"1dd60d08-c423-4d97-b9d2-1fd119afd639","7a1ee1fa-42ac-421a-99e3-9d53b2f1d9dd",,"Apache Axis2/Java - Axis2 Service Archiver eclipse plugin",1.7.1,unknown,null,1.7.1,87160,"Apache Commons HttpClient contains a flaw related to domain name validation during certificate validation. The issue is due to the server hostname not being verified to match a domain name in the Subject's Common Name (CN) or SubjectAltName field of the X.509 certificate. This may allow a man-in-the-middle attacker to spoof SSL servers via an arbitrary certificate that appears valid. Such an attack would allow for the interception of sensitive traffic, and potentially allow for the injection of content into the SSL stream.",2012-11-11,2017-04-03,4.3,8.6,2.9,VULNDB,,NEW,,,,,MEDIUM,"2017-05-26 01:30:59.716"
"Hub-Fortify-Integration-Test1",1.0,"3c47878f-c119-4744-b7e5-967e25071dcb","8b564faa-3446-4d2d-a53f-e26ce0ee7591",,"Apache Axis2/Java - Code Generator eclipse plugin",1.1,unknown,null,1.1,CVE-2010-1632,"Apache Axis2 before 1.5.2, as used in IBM WebSphere Application Server (WAS) 7.0 through 7.0.0.12, IBM Feature Pack for Web Services 6.1.0.9 through 6.1.0.32, IBM Feature Pack for Web 2.0 1.0.1.0, Apache Synapse, Apache ODE, Apache Tuscany, Apache Geronimo, and other products, does not properly reject DTDs in SOAP messages, which allows remote attackers to read arbitrary files, send HTTP requests to intranet servers, or cause a denial of service (CPU and memory consumption) via a crafted DTD, as demonstrated by an entity declaration in a request to the Synapse SimpleStockQuoteService.",2016-10-03,2016-09-29,7.5,10.0,6.4,NVD,,NEW,,,,"http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2010-1632",HIGH,"2017-05-26 01:30:59.716"
"Hub-Fortify-Integration-Test1",1.0,"3c47878f-c119-4744-b7e5-967e25071dcb","8b564faa-3446-4d2d-a53f-e26ce0ee7591",,"Apache Axis2/Java - Code Generator eclipse plugin",1.1,unknown,null,1.1,CVE-2012-5785,"Apache Axis2/Java 1.6.2 and earlier does not verify that the server hostname matches a domain name in the subject's Common Name (CN) or subjectAltName field of the X.509 certificate, which allows man-in-the-middle attackers to spoof SSL servers via an arbitrary valid certificate.",2012-11-05,2012-11-20,5.8,8.6,4.9,NVD,,NEW,,,,"http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2012-5785",MEDIUM,"2017-05-26 01:30:59.716"
"Hub-Fortify-Integration-Test1",1.0,"fbb3a204-11b9-461d-9550-81ce954d1c5b","ada708c6-3aeb-4393-80fe-e0151cd4c89f",,"Apache CloudStack",4.4.4,unknown,null,4.4.4,129965,"Apache Cloudstack contains a flaw in plugins/hypervisors/kvm/src/com/cloud/hypervisor/kvm/resource/LibvirtComputingResource.java that is triggered during VM rebooting or migration. This can cause the system to lose its password.",2015-11-09,2016-02-13,6.0,6.8,6.4,VULNDB,,DUPLICATE,,,,,MEDIUM,"2017-05-26 01:30:59.716"
"Hub-Fortify-Integration-Test1",1.0,"fbb3a204-11b9-461d-9550-81ce954d1c5b","ada708c6-3aeb-4393-80fe-e0151cd4c89f",,"Apache CloudStack",4.4.4,unknown,null,4.4.4,129967,"Apache CloudStack contains a flaw that is due to the program exposing credential information in listHosts API responses. This may allow a remote attacker to gain access to username and password information.",2015-11-09,2016-02-13,4.0,8.0,2.9,VULNDB,,DUPLICATE,,,,,MEDIUM,"2017-05-26 01:30:59.716"
"Hub-Fortify-Integration-Test1",1.0,"fbb3a204-11b9-461d-9550-81ce954d1c5b","ada708c6-3aeb-4393-80fe-e0151cd4c89f",,"Apache CloudStack",4.4.4,unknown,null,4.4.4,131632,"Apache Cloudstack contains a flaw that is triggered when it logs the site-to-site VPN pre-shared key (PSK) in plaintext. This may allow a local attacker to gain unauthorized access to the key.",2015-12-12,2015-12-12,2.1,3.9,2.9,VULNDB,,NEW,,,,,LOW,"2017-05-26 01:30:59.716"
"Hub-Fortify-Integration-Test1",1.0,"fbb3a204-11b9-461d-9550-81ce954d1c5b","ada708c6-3aeb-4393-80fe-e0151cd4c89f",,"Apache CloudStack",4.4.4,unknown,null,4.4.4,CVE-2015-3251,"Apache CloudStack before 4.5.2 might allow remote authenticated administrators to obtain sensitive password information for root accounts of virtual machines via unspecified vectors related to API calls.",2016-02-11,2016-02-12,4.0,8.0,2.9,NVD,,NEW,,,,"http://web.nvd.nist.gov/view/vuln/detail?vulnId=CVE-2015-3251",MEDIUM,"2017-05-26 01:30:59.716"
